update_time,license,format,overall,groups,id
0,1,0,1,,wanderwege-aachen-brand
0,1,0,1,,wahlkreise-landtagswahl-2017
0,1,1,2,Bevölkerung,vornamen2
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",umweltzone1
0,1,1,2,,testdaten
0,1,0.5,1.5,"Geographie, Geologie und Geobasisdaten",strassenliste
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Politik und Wahlen",stimmbezirke-der-stadt-aachen-fur-die-landtags-und-bundestagswahl-2017
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",stellenplan-der-stadtverwaltung-aachen
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",statistische-bezirke-grenzen
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadtplan-amtlich
0,1,0.5,1.5,,stadtische-friedhofe
0,1,0,1,"Bevölkerung,Infrastruktur, Bauen und Wohnen",stadtbezirke-aachen
0,1,0,1,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",solarkataster
0,1,0.5,1.5,"Infrastruktur, Bauen und Wohnen",signalanlagen
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",schutzhutten-im-aachener-wald
0,1,0,1,,schuldaten-stadt-aachen
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",rettungspunkte-im-aachener-wald
0,1,0.5,1.5,,prufung-geeigneter-datensatze
0,1,1,2,"Infrastruktur, Bauen und Wohnen",parkscheinautomaten-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",link-zum-interaktiven-haushalt
0,1,0,1,Wirtschaft und Arbeit,link-zu-the-locator-eu-zur-verfugung-gestellt-von-der-agit
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",knotenpunkte-im-aachener-wald
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",jahrsbericht-2015_201604personal_vorsorgeaufwendungen
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",jahresbericht-2015_schwerbehindertenquote
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",jahresbericht-2015_mitarbeiterzahlen
