update_time,license,format,overall,groups,id
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-breite-strasse-beckstrasse1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-namedyer-wiese1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-gewerbegebiet-an-der-b9-1-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-im-oberdorf-an-der-schoss-1-plananderung-2-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-am-unteren-stadtgraben-1-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-hochstrasse-obere-wallstrasse-bahnhofstrasse-eisengasse-3-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-breitestrasse-beckstrasse-2-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-rauscherstrasse-und-umgebung-2-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-am-unteren-stadtgraben-2-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-am-muhlgraben-3-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-miesenheimer-hohe-3-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-industriegebiet-iii-1-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-auf-der-schoss1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-hochstrasse-obere-wallstrasse-bahnhofstrasse-eisengasse-4-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-in-der-beun-2-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-in-der-wiese1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-industriegebiet-ii-a-anderung-industriegebiet-ii1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-in-der-wiese-3-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-industriegebiet-ii-2-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-bahnubergang-namedy-2-plananderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-kolner-strasse-kirchhofsweg1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-industriepark-b256-b91
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-martinsberg-ii1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",andernach-ebene-schillerring-krahnenberg-kaserne1
