update_time,license,format,overall,groups,id
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-denkmalzonen1
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-denkmalzonen-wa
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-einzeldenkmaele2
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-einzeldenkmaele1
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-einzeldenkmaele
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-bauliche-gesamt
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-denkmalzonen-gr
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-landkreis-bad-durkheim-digita
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaft-landkreis-bad-durkheim
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",datenkompass-tourismus-landkreis-bad-durkheim
0,1,0,1,"Gesundheit,Soziales",datenkompass-soziales-und-gesundheit-landkreis-bad-durkheim
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaftliche-entwicklungspotenziale-landkreis-bad-durkheim
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-einzeldenkmaelc2db1
0,1,0,1,Bildung und Wissenschaft,datenkompass-erziehung-und-bildung-landkreis-bad-durkheim
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-vg-ebene-landkreis-bad-durkheim
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-landkreis-bad-durkheim
0,1,0,1,Bevölkerung,datenkompass-bevolkerung-und-gebiet-haushalte-und-familien-landkreis-bad-durkheim
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-bauliche-gesam
0,1,0,1,Wirtschaft und Arbeit,datenkompass-arbeitsmarkt-erwerbstatigkeit-landkreis-bad-durkheim
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-einzeldenkmael88fac
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-denkmalzonen
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-denkmalzonen-g
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-denkmalzonen-w
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-bad-durkheim-digitale-kartierung-der-denkmalliste-ebene-bad-duerkheim-einzeldenkmael
