update_time,license,format,overall,groups,id
0,1,1,2,Bevölkerung,d01-vornamen-eines-geburtsjahres
0,1,1,2,Bevölkerung,d02-anderung-familienstande-eines-jahres
0.5,1,1,2.5,Bevölkerung,d01-vornamen-eines-geburtsjahres-bedburg
0.5,1,1,2.5,Bevölkerung,d02-anderung-familienstande-eines-jahres-bedburg
0.5,1,1,2.5,Bevölkerung,d03-passierte-bewegungen-eines-jahres-bedburg
0.5,1,1,2.5,Bevölkerung,d05-einwohner-gesamt-bedburg
0.5,1,1,2.5,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-bedburg
0.5,1,1,2.5,Bevölkerung,d07-familien-mit-anzahl-kinder-bedburg
0.5,1,1,2.5,Bevölkerung,d08-familien-nach-grosse-bedburg
0.5,1,1,2.5,Bevölkerung,d10-einzelnachweise-zu-und-wegzuge-eines-jahres-bedburg
0.5,1,1,2.5,Bevölkerung,d04-einwohner-nach-ortsteilen-bedburg
0.5,1,1,2.5,Bevölkerung,d09-zu-und-wegzuge-eines-jahres-nach-ort-und-alter-bedburg
0.5,1,1,2.5,Transport und Verkehr,d11-einzelnachweise-bussgelder-ruhender-verkehr-bedburg
0,1,1,2,Bevölkerung,d14-grabstatten-und-bestattungen-bedburg
0,1,1,2,Wirtschaft und Arbeit,d16-gewerbanmeldungen-bedburg
0.5,1,1,2.5,Politik und Wahlen,d15-bundestagswahlen-bedburg
0.5,1,1,2.5,Politik und Wahlen,d12-landtagswahlen-bedburg
