update_time,license,format,overall,groups,id
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-fassadenpegel-an-larmbeeinflussten-wohngebauden-2012-ua
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-l_den-tag-abend-nacht-index-strassenverkehr-2012-ua
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-l_n-nacht-index-industrie-und-gewerbe-2012-ua
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-l_den-tag-abend-nacht-index-strassen-u-bahnverkehr-2012-ua
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",aufgrabeverbote-in-berlin
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-gesamtlarmindex-l_den-tag-abend-nacht-raster-2012-ua
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-l_n-nacht-index-strassen-u-bahnverkehr-2012-ua
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strat-larmkarte-l_den-tag-abend-nacht-index-flugverkehr-ber-prognose-2015
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",verkehrsbedingte-luftbelastung-2009-umweltatlas-wms
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",alkis-berlin-amtliches-liegenschaftskatasterinformationssystem
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",digitale-color-infrarot-orthophotos-2016-dop20cir-wms
1,0,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",digitale-farbige-orthophotos-2016-dop20rgb-wms
