update_time,license,format,overall,groups,id
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-alter-sportplatz-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ohlenfeld1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-bladenwiese-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-ermeserhahn-ost-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-ermeserhahn-ost-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-ermeserhahn-ost1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-in-den-krummenstucken-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-oberdorf1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-bladenwiese1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-helene-pages-strasse1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald-5-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-belgenhochst1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-proffen-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-unten-in-der-aab-4-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-schul-u-sportzentrum1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-ermeserhahn-west-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-proffen1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-im-buchmorgen-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald-4-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchenauer-bach1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-putz-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-stadtwald-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-salzbornhohe1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-leiswiese-i1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-zeil-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-sportzentrum1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-der-schultheiswies1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-an-den-kreuzen1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-ermeserhahn-west1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-am-schaffersweyer-ii-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-ermeserhahn-west-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-putz-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-casinostrasse-herrenstucke-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-in-den-krummenstucken1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",boppard-ebene-boppard1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-grundversorgungszentrum-buchholz1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchholz-mitte-5-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-sauerling1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-unten-auf-der-aab1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-casinostrasse-herrenstucke1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-im-bruhl1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-alter-sportplatz1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-oberstrasse-kirchgasse-angertstrasse-mergstrasse1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-rothesfeld1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-am-heckenpfad-in-der-giebelspitz1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchholz-mitte-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-zeil-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-am-schaffersweyer-ii-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-putz-3-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchholz-mitte-4-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-flogt1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-dem-ellig-3-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-sportplatz-buchenau-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-proffen-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hospital1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-verlangerte-parkstrasse1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-oberhirzenach1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-im-bungart1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-niederhirzenach-ii1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-in-den-gassen1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ober-der-kirche1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-zeil1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-niederhirzenach-i1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-in-allweiden1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-grunflache-zeil1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchholz-mitte-3-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald-3-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-stadtwald-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-am-schaffersweyer-i1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-putz-4-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-der-steinrausch1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-in-den-krummenstucken-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-ermeserhahn-forstdreischen1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-grunflache-zeil-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-zeil-3-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-am-schaffersweyer-ii1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-oberdorf-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-oberdorf-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-dem-ellig1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-unten-in-der-aab1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-im-buchmorgen1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-dem-ellig-4-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchholz-mitte1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-buchholz-mitte-2-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",boppard-ebene-bebauungsplane1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-zum-vogelsberg1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-sportplatz-buchenau1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-der-steinrausch-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-leiswiese-ii1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hinter-der-haie1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-dem-seifenberg-1-anderung
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-stadtwald1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-putz1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",boppard-ebene-umringe-der-bebauungsplane-von-boppard1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-hellerwald-ii1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",boppard-ebene-auf-dem-seifenberg1
0,1,0,1,Transport und Verkehr,langzeitzahlstelle-auf-der-a-61-in-as-boppard-vq-nord
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-hellerwald-4-anderung
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-ohlenfeld
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-hellerwald
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-hinter-der-haie
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-unten-in-der-aab-4-anderung
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-buchholz-mitte-5-anderung
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-stadtwald
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",boppard-ebene-ober-ermeserhahn-ost
