update_time,license,format,overall,groups,id
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2018-2019
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2016-20171
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2016-ist-daten1
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2012-ist-daten1
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2011-ist-daten1
0,0,0.5,0.5,"Öffentliche Verwaltung, Haushalt und Steuern",zuwendungen-in-bremen-2014-20151
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2015-ist-daten1
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",themen-und-schlagworte-im-transparenzportal1
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2014-ist-daten1
0,0,0.5,0.5,"Öffentliche Verwaltung, Haushalt und Steuern",zuwendungen-in-bremen-2012-20131
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffszahlen-downloads-unter-daten-bremen-de-20131
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2013-ist-daten1
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffszahlen-des-schwarzen-bretts-unter-bremen-de-fur-20131
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffszahlen-internetauftritt-seniorenlotse-bremen-de-20131
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffszahlen-landesportal-bremen-20131
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffszahlen-internetauftritt-frauenseiten-bremen-de-20131
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffszahlen-internetauftritt-bremen-de-20131
0,1,0.5,1.5,Soziales,iko-kennzahlenvergleich-sgb-viii-zeitreihe-erziehungshilfe-von-2005-bis-2011-in-bremen1
0,0,0.5,0.5,"Öffentliche Verwaltung, Haushalt und Steuern",zuwendungen-in-bremen-2011-20121
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushalt-des-landes-und-der-stadtgemeinde-bremen-2014-20151
0,0,0.5,0.5,"Öffentliche Verwaltung, Haushalt und Steuern",zuwendungen-in-bremen-20111
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20121
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20111
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20101
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20091
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20081
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20071
0,1,1,2,Bevölkerung,vornamen-top-100-in-bremen-20061
0,1,0.5,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsportrat-20121
0,1,0,1,Umwelt und Klima,entsorgungsanlagen-in-bremen2
0,0,0,0,"Öffentliche Verwaltung, Haushalt und Steuern",tarifvertrage-bremen-allgemeinverbindlich-erklart1
0,0,0.5,0.5,"Öffentliche Verwaltung, Haushalt und Steuern",zuwendungen-in-bremen-2009-20101
0,1,0,1,Umwelt und Klima,baumfallungen-und-baumpflanzungen-in-bremen1
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20161
0,1,0,1,Gesetze und Justiz,gesetze-rechtsvorschriften-verordnungen-rundschreiben-und-satzungen-des-landes-bremen1
0,1,0,1,Gesetze und Justiz,vertrage-und-vereinbarungen-bremen1
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20081
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20091
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20101
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20111
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20121
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20131
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20141
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen-20151
0,1,0,1,Gesetze und Justiz,gesetze-und-rechtsverordnungen-bremen1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",geographie-geologie-und-geobasisdaten-bremen
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",verwaltungsvorschriften-bremen1
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",geschaftsverteilungs-und-organisationsplane-bremen1
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",offene-daten-bremen-gesamtubersicht-aller-offenen-datensatze1
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",uberwachungskamerastandorte-in-offentlichen-einrichtungen-in-bremen1
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amter-im-land-bremen
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",strassenverzeichnis-der-stadt-bremen1
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20161
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",aktuelle-meldungen-und-pressemitteilungen-fur-das-jahr-20161
0,0,0,0,Gesundheit,toilettenstandorte-in-bremen-projekt-nette-toilette2
0,0,0,0,Umwelt und Klima,ozonwerte-in-bremen2
0,1,0,1,Umwelt und Klima,badeseedaten-in-bremen2
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20081
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20091
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20101
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20111
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20121
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",amtliche-informationen-dokumente-des-transparenzportals-20151
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",aktuelle-meldungen-und-pressemitteilungen-fur-das-jahr-20151
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",aktuelle-meldungen-und-pressemitteilungen-fur-das-jahr-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",aktuelle-meldungen-und-pressemitteilungen-fur-das-jahr-20131
