update_time,license,format,overall,groups,id
0,1,1,2,Bevölkerung,bevolkerung-auf-ebene-der-baublocke
0,1,0,1,"Geographie, Geologie und Geobasisdaten",baublockgrenzen-von-dusseldorf
0,1,1,2,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",standorte-der-dusseldorfer-schulen
0,1,1,2,Umwelt und Klima,strassenreinigungsverzeichnis-2018
0,1,0,1,"Gesundheit,Soziales",drogenhilfe-dusseldorf-berichte-seit-2014
0,1,0,1,"Soziales,Wirtschaft und Arbeit",zukunftswerkstatt-dusseldorf-jahresberichte-seit-2012
0,1,1,2,Soziales,unterkunftsplatze-fur-fluchtlinge-in-dusseldorf-seit-2014
0,1,1,2,Soziales,entwicklung-der-unterbringungszahlen-von-fluchtlingen-in-dusseldorf-seit-2014
0,1,1,2,Soziales,unterbringung-von-fluchtlingen-in-dusseldorf-2017
0,1,1,2,Soziales,entwicklung-der-zahlen-von-leistungsbeziehern-nach-dem-asylbewerberleistungsgesetz-in-duss-2016
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",standorte-offentlicher-toiletten-dusseldorf
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",standorte-und-offnungzeiten-der-dusseldorfer-stadtbuchereien
0,1,1,2,Bevölkerung,sterbefalle-in-dusseldorf-seit-2016
0,1,1,2,Bevölkerung,geburten-in-dusseldorf-seit-2016
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",dusseldorfer-museen
0,1,1,2,"Infrastruktur, Bauen und Wohnen",gebaude-in-dusseldorf-uber-55-meter
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",wohngeldempfanger-in-den-wohnquartieren-dusseldorf
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",offentlich-geforderte-wohnungen-in-den-wohnquartieren-dusseldorf
0,1,1,2,"Bevölkerung,Infrastruktur, Bauen und Wohnen",haushalte-in-den-wohnquartieren-dusseldorf
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",eigentumsquote-in-den-wohnquartieren-dusseldorf
0,1,1,2,"Bevölkerung,Infrastruktur, Bauen und Wohnen",bevolkerung-in-den-wohnquartieren
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",bedarfsgemeinschaften-in-den-wohnquartieren-dusseldorf
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Wirtschaft und Arbeit",arbeitslose-in-den-wohnquartieren-dusseldorf
0,1,1,2,"Infrastruktur, Bauen und Wohnen",wohnungen-und-gebaude-in-den-wohnquartieren
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-dusseldorfer-bevolkerung
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-2018-dusseldorf-entwurf
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",schlusseltabellen-zu-den-wohnquartieren-von-dusseldorf
0,1,1,2,"Infrastruktur, Bauen und Wohnen",bautatigkeiten-in-den-wohnquartieren
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",flachengrossen-in-dusseldorf-auf-verschiedenen-ebenen
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",wohnquartiergrenzen-dusseldorf
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Politik und Wahlen",stimmbezirksgrenzen-dusseldorf
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadtbezirksgrenzen-dusseldorf
0,1,1,2,"Geographie, Geologie und Geobasisdaten",stadtteile-dusseldorf
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",personalbestand-der-stadtverwaltung-dusseldorf
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",die-dusseldorfer-rheinbrucken
0,1,1,2,"Bevölkerung,Infrastruktur, Bauen und Wohnen",bevolkerungswanderung-in-den-wohnquartieren-dusseldorf
0,1,1,2,Wirtschaft und Arbeit,sozialversicherungspflichtig-beschaftigte-in-dusseldorf
0,1,1,2,Umwelt und Klima,wasserstand-des-rheins-bei-dusseldorf
0,1,1,2,Soziales,beziehende-von-leistungen-nach-dem-asylbewerberleistungsgesetz-seit-1994-in-dusseldorf
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Politik und Wahlen",wahllokale-dusseldorf-landtagswahl
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadtgrenze-dusseldorf
0,1,0,1,Politik und Wahlen,jahresinhaltsubersichten-von-ratssitzungen-in-dusseldorf
0,1,1,2,Gesetze und Justiz,einsatzzahlen-der-rettungsdienste-in-dusseldorf-seit-2000
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadtteilgrenzen-dusseldorf
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",besucherzahlen-der-museen-und-sammlungen-seit-1999-in-dusseldorf
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-2017-dusseldorf
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-2015-dusseldorf
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-2016-dusseldorf
0,1,1,2,Bevölkerung,einwohnerzahl-dusseldorf
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",nettosteuereinnahmen-dusseldorf-insgesamt-seit-2002
0,1,1,2,Umwelt und Klima,nach-abfallarten-differenzierte-entsorgte-abfallmenge-der-stadt-dusseldorf
0,1,1,2,Soziales,beziehende-von-grundsicherung-im-alter-und-bei-erwerbsminderung-nach-sgb-xii-dusseldorf
0,1,1,2,"Geographie, Geologie und Geobasisdaten",strassenverzeichnis2
0,1,1,2,Bildung und Wissenschaft,schulerinnen-und-schuler-an-den-stadtischen-schulen-dusseldorfs-seit-2006
0,1,1,2,Gesundheit,anzahl-medizinischer-anwendungen-in-den-offentlichen-badern-dusseldorfs-seit-2006
0,1,1,2,Bevölkerung,vornamen1
0,1,1,2,Politik und Wahlen,bezirksvertretungswahl-2014-dusseldorf
0,1,1,2,Politik und Wahlen,ratswahl-2014-dusseldorf
0,1,1,2,Politik und Wahlen,kommunal-und-oberburgermeisterstichwahl-2014-dusseldorf
0,1,1,2,Politik und Wahlen,europawahl-2014-dusseldorf
0,1,1,2,Politik und Wahlen,landtagswahl-2012-dusseldorf
0,1,1,2,Politik und Wahlen,bundestagswahl-2013-dusseldorf
0,1,1,2,Politik und Wahlen,integrationsratswahl-2014-dusseldorf
0,1,1,2,Politik und Wahlen,landtagswahl-2017-dusseldorf
0,1,1,2,Politik und Wahlen,bundestagswahl-2017-dusseldorf
