update_time,license,format,overall,groups,id
1,1,1,3,Bevölkerung,d01-vornamen-eines-geburtsjahres-elsdorf
1,1,1,3,Bevölkerung,d02-anderung-familienstande-eines-jahres-stadt-elsdorf
1,1,1,3,Bevölkerung,d03-passierte-bewegungen-eines-jahres-stadt-elsdorf
1,1,1,3,Bevölkerung,d04-einwohner-nach-ortsteilen-stadt-elsdorf
1,1,1,3,Bevölkerung,d05-einwohner-gesamt-stadt-elsdorf
1,1,1,3,Bevölkerung,d08-familien-nach-grosse-auf-ortsteile-und-gesamt-stadt-elsdorf
1,1,1,3,Bevölkerung,d10-einzelnachweise-zu-und-wegzuge-eines-jahres-stadt-elsdorf
1,1,1,3,Bevölkerung,d07-familien-mit-anzahl-kinder-stadt-elsdorf
1,1,1,3,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-stadt-elsdorf
0,1,1,2,Transport und Verkehr,d11-einzelnachweise-bussgelder-ruhender-verkehr-elsdorf
0,1,1,2,Wirtschaft und Arbeit,d16-gewerbeanmeldungen-elsdorf
0,1,1,2,Bevölkerung,d14-grabstatten-und-bestattungen-elsdorf
0.5,1,1,2.5,Politik und Wahlen,d12-landtagswahlen-stadt-elsdorf
0,1,1,2,Politik und Wahlen,d15-bundestagswahlen-elsdorf
