update_time,license,format,overall,groups,id
0,1,0,1,"Bevölkerung,Bildung und Wissenschaft,Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus,Politik und Wahlen",infrastrukturdatenbank-der-stadt-gelsenkirchen-wms-amp-wfs
0,1,0,1,"Infrastruktur, Bauen und Wohnen",bebauungsplan-der-stadt-gelsenkirchen-wms-amp-wfs
0,1,1,2,"Infrastruktur, Bauen und Wohnen",hotspots-in-gelsenkirchen
0,1,1,2,"Bevölkerung,Wirtschaft und Arbeit",arbeitsmarktstatistik-arbeitslose-nach-stadtteilen-gelsenkirchen
0,1,1,2,"Bevölkerung,Wirtschaft und Arbeit",arbeitsmarktstatistik-arbeitslose-nach-rechtskreisen-des-sgb
0,1,1,2,"Bevölkerung,Wirtschaft und Arbeit",arbeitsmarktstatistik-arbeitslose-gelsenkirchen
0,1,1,2,"Bevölkerung,Wirtschaft und Arbeit",arbeitsmarktstatistik-sozialversicherungspflichtige-auf-stadtteilebene-gelsenkirchen
0,1,1,2,"Bevölkerung,Wirtschaft und Arbeit",arbeitsmarktstatistik-sgb-ii-rechtskreis-auf-stadtteilebene-gelsenkirchen
0,1,1,2,Bevölkerung,bevolkerungsstruktur-migration-gesamtstadt-woche
0,1,1,2,Bevölkerung,bevolkerungsstruktur-der-haushalte-nach-stadtteil
0,1,1,2,Politik und Wahlen,wahlraume-bundestagswahl-2017-gelsenkirchen
0,1,1,2,Bevölkerung,vornamen-der-unter-1-jahrigen
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus,Umwelt und Klima",baumkataster-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",schwimmbader-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",kinos-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",erinnerungsorte-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",baustellen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",zwar-gruppen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",notunterkunfte-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",unterbringungen-demenzkranke-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",tagespflegeeinrichtungen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",senioren-und-pflegeheime-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus,Soziales",seniorenbegegnungsstatten-in-gelsenkirchen
0,1,1,2,"Gesundheit,Infrastruktur, Bauen und Wohnen",rehabilitation-in-gelsenkirchen
0,1,1,2,"Gesundheit,Infrastruktur, Bauen und Wohnen,Soziales",pflege-in-gelsenkirchen
0,1,1,2,"Bevölkerung,Infrastruktur, Bauen und Wohnen,Soziales",migrantenselbstorganisation-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",kurzzeitpflegeheime-in-gelsenkirchen
0,1,1,2,"Gesundheit,Infrastruktur, Bauen und Wohnen",krankenhauser-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus,Soziales",infocenter-generationennetz-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",hilfe-demenz-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Öffentliche Verwaltung, Haushalt und Steuern",feuerwehr-und-katastrophenschutz-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",einrichtungen-fur-menschen-mit-behinderung-in-gelsenkirchen
0,1,1,2,"Gesundheit,Infrastruktur, Bauen und Wohnen,Soziales",beratungsstellen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Soziales",kinder-und-jugendfreizeiteinrichtungen-in-gelsenkirchen
0,1,1,2,"Geographie, Geologie und Geobasisdaten",strassenverzeichnis-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",bauspielplatze-in-gelsenkirchen
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",halden-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",veranstaltungsorte-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",grunanlagen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr,Umwelt und Klima",radverkehr-verleihpunkte-und-radstationen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",privatunterkunfte-und-ubernachtungsmoglichkeiten-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",sportanlagen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",spielpunkte-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",spielen-und-freizeit-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Wirtschaft und Arbeit",einzelhandel-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",kunst-im-offentlichen-raum-in-gelsenkirchen
0,1,1,2,"Gesundheit,Infrastruktur, Bauen und Wohnen",defibrillatoren-offentliche-in-gelsenkirchen
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",nachrichten-aus-gelsenkirchen
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",veranstaltungen-in-gelsenkirchen
0,1,0,1,"Geographie, Geologie und Geobasisdaten",liegenschaftskataster-stadt-gelsenkirchen
0,1,0,1,"Geographie, Geologie und Geobasisdaten",webkarte-stadt-gelsenkirchen
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",luftbilder-senkrecht-stadt-gelsenkirchen
0,1,1,2,"Bildung und Wissenschaft,Infrastruktur, Bauen und Wohnen,Soziales",kindertagespflege-einrichtungen-in-gelsenkirchen
0,1,1,2,"Bildung und Wissenschaft,Infrastruktur, Bauen und Wohnen,Soziales",tageseinrichtungen-fur-kinder-gelsenkirchen
0,1,1,2,"Bildung und Wissenschaft,Infrastruktur, Bauen und Wohnen",schulische-bildung-einrichtungen-in-gelsenkirchen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Öffentliche Verwaltung, Haushalt und Steuern",rathaus-und-burgerservice
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",verwaltungsgrenzen-der-stadt-gelsenkirchen-wms-amp-wfs
0,1,1,2,Bevölkerung,bevolkerungsstruktur-nach-nationalitat-geschlecht-gesamtstadt-quartal-gelsenkirchen
0,1,1,2,Bevölkerung,bevolkerungsstruktur-nach-nationalitat-geschlecht-gesamtstadt-jahr-gelsenkirchen
0,1,1,2,Bevölkerung,bevolkerungsstruktur-nach-geschlecht-strasse-quartal-gelsenkirchen
0,1,1,2,Bevölkerung,bevolkerungsstruktur-nach-alter-geschlecht-stadtteil-quartal-gelsenkirchen
