update_time,license,format,overall,groups,id
0.5,1,1,2.5,Bevölkerung,d01-vornamen-eines-geburtsjahres-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d02-anderung-familienstande-eines-jahres-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d03-passierte-bewegungen-eines-jahres-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d04-einwohner-nach-ortsteilen-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d05-einwohner-gesamt-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d08-familien-nach-grosse-stadt-heimbach
0,1,1,2,Politik und Wahlen,d15-bundestagswahlen-heimbach
1,1,1,3,Transport und Verkehr,d11-einzelnachweise-bussgelder-ruhender-verkehr-heimbach
1,1,1,3,Wirtschaft und Arbeit,d16-gewerbeanmeldungen-heimbach
0.5,1,1,2.5,Bevölkerung,d09-zu-und-wegzuge-eines-jahres-nach-ort-und-alter-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d10-einzelnachweise-zu-und-wegzuge-eines-jahres-stadt-heimbach
0.5,1,1,2.5,Bevölkerung,d07-familien-mit-anzahl-kinder-heimbach
