update_time,license,format,overall,groups,id
0,1,1,2,Bevölkerung,d01-vornamen-eines-geburtsjahres-stadt-julich
0,1,1,2,Bevölkerung,d02-anderung-familienstande-eines-jahres-stadt-julich
0,1,1,2,Bevölkerung,d03-passierte-bewegungen-eines-jahres-stadt-julich
0,1,1,2,Bevölkerung,d04-einwohner-nach-ortsteile-stadt-julich
0,1,1,2,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-stadt-julich
0,1,1,2,Bevölkerung,d05-einwohner-gesamt-stadt-julich
0,1,1,2,Bevölkerung,d07-familien-mit-anzahl-kinder-stadt-julich
0,1,1,2,Bevölkerung,d08-familien-nach-grosse-stadt-julich
0,1,1,2,Bevölkerung,d09-zu-und-wegzuge-eines-jahres-nach-ort-und-alter-stadt-julich
0,1,1,2,Bevölkerung,d10-einzelnachweise-zu-und-wegzuge-eines-jahres-stadt-julich
0,1,1,2,Politik und Wahlen,d12-landtagswahlen-stadt-julich
0,1,1,2,Politik und Wahlen,d15-bundestagswahlen-julich
0,1,1,2,Bevölkerung,d14-grabstatten-und-bestattungen-julich
0,1,1,2,Wirtschaft und Arbeit,d16-gewerbeanmeldungen-julich
0,1,1,2,Transport und Verkehr,einzelnachweise-bussgelder-ruhender-verkehr-julich
