update_time,license,format,overall,groups,id
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaft-landkreis-kaiserslautern
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaft-kreisfreie-stadt-kaiserslautern
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",datenkompass-tourismus-landkreis-kaiserslautern
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",datenkompass-tourismus-kreisfreie-stadt-kaiserslautern
0,1,0,1,"Gesundheit,Soziales",datenkompass-soziales-und-gesundheit-landkreis-kaiserslautern
0,1,0,1,"Gesundheit,Soziales",datenkompass-soziales-und-gesundheit-kreisfreie-stadt-kaiserslautern
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaftliche-entwicklungspotenziale-landkreis-kaiserslautern
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaftliche-entwicklungspotenziale-kreisfreie-stadt-kaiserslautern
0,1,0,1,Transport und Verkehr,langzeitzahlstelle-auf-der-a-63-in-ad-kaiserslautern-vq-nord
0,1,0,1,"Bildung und Wissenschaft,Umwelt und Klima",datenkompass-erziehung-und-bildung-landkreis-kaiserslautern
0,1,0,1,Bildung und Wissenschaft,datenkompass-erziehung-und-bildung-kreisfreie-stadt-kaiserslautern
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-vg-ebene-landkreis-kaiserslautern
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-landkreis-kaiserslautern
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-kreisfreie-stadt-kaiserslautern
0,1,0,1,Bevölkerung,datenkompass-bevolkerung-und-gebiet-haushalte-und-familien-landkreis-kaiserslautern
0,1,0,1,Bevölkerung,datenkompass-bevolkerung-und-gebiet-haushalte-und-familien-kreisfreie-stadt-kaiserslautern
0,1,0,1,Wirtschaft und Arbeit,datenkompass-arbeitsmarkt-erwerbstatigkeit-landkreis-kaiserslautern
0,1,0,1,Wirtschaft und Arbeit,datenkompass-arbeitsmarkt-erwerbstatigkeit-kreisfreie-stadt-kaiserslautern
