update_time,license,format,overall,groups,id
0,1,1,2,Bevölkerung,d02-anderung-familienstande-eines-jahres-kerpen
0,1,1,2,Bevölkerung,d01-vornamen-eines-geburtsjahres-kerpen
0,1,1,2,Bevölkerung,d03-passierte-bewegungen-eines-jahres-kerpen
0,1,1,2,Bevölkerung,d04-einwohner-nach-ortsteilen-kerpen
0,1,1,2,Bevölkerung,d05-einwohner-gesamt-kerpen
0,1,1,2,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-kerpen
0,1,1,2,Bevölkerung,d07-familien-mit-anzahl-kinder-kerpen
0,1,1,2,Bevölkerung,d08-familien-nach-grosse-kerpen
0,1,1,2,Bevölkerung,d10-einzelnachweise-zu-und-wegzuge-eines-jahres-kerpen
0,1,1,2,Transport und Verkehr,d11-einzelnachweise-bussgelder-ruhender-verkehr-kerpen
0,1,1,2,Bevölkerung,d09-zu-und-wegzuge-eines-jahres-nach-ort-und-alter-kerpen
0,1,1,2,Politik und Wahlen,d12-landtagswahlen-stadt-kerpen
0,1,1,2,Bevölkerung,d13-archivdaten-geburten-sterbefalle-eheschliessungen-stadt-kerpen
0,1,1,2,Bevölkerung,d14-grabstatten-und-bestattungen-stadt-kerpen
0,1,1,2,Politik und Wahlen,d15-bundestagswahlen-kerpen
0,1,1,2,Wirtschaft und Arbeit,d16-gewerbeanmeldungen-kerpen
0,1,1,2,Bevölkerung,d21-stadtarchiv-kerpen
