update_time,license,format,overall,groups,id
0,1,0,1,"Bildung und Wissenschaft,Gesetze und Justiz",internetstadt-koln
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",veranstaltungen-der-stadt-koln
0,1,0,1,Bevölkerung,statistisches-jahrbuch-2011
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",tag-des-denkmals
0,1,1,2,"Geographie, Geologie und Geobasisdaten",stadtbezirke
0,1,1,2,"Geographie, Geologie und Geobasisdaten",stadtteile
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",bezirke-produktgruppen
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",ergebnisplan-produktbereichssummen
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",finanzplan-produktbereichssummen
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",gesamtergebnisplan
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",gesamtfinanzplan
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",teilergebnisplan
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",teilfinanzplan
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",bezirke-einzeldarstellung
0,1,0,1,Bildung und Wissenschaft,vorstudie-opendata
0,1,0,1,Transport und Verkehr,verkehrskalender-der-stadt-koln
0,1,0,1,Transport und Verkehr,parkhausbelegung
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Politik und Wahlen",bundestagswahlkreis
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Politik und Wahlen",stimmbezirk
0,1,1,2,Bevölkerung,bevolkerungsbewegung
0,1,1,2,Bevölkerung,haushalte
0,1,1,2,"Gesundheit,Soziales",gesundheit-und-soziales
0,1,1,2,"Infrastruktur, Bauen und Wohnen",bauen-und-wohnen-baufertigstellungen
0,1,1,2,"Infrastruktur, Bauen und Wohnen",bauen-und-wohnen-baugenehmigungen
0,1,1,2,Bildung und Wissenschaft,bildung-und-ausbildung
0,1,1,2,Politik und Wahlen,politische-verhaltnisse
0,1,1,2,"Geographie, Geologie und Geobasisdaten",adresse
0,1,1,2,"Geographie, Geologie und Geobasisdaten",block
0,1,1,2,"Geographie, Geologie und Geobasisdaten",blockabschnitt
0,1,1,2,"Geographie, Geologie und Geobasisdaten",blockseite
0,1,1,2,"Geographie, Geologie und Geobasisdaten",stadtviertel
0,1,1,2,"Geographie, Geologie und Geobasisdaten",strasse
0,1,1,2,"Geographie, Geologie und Geobasisdaten",strassenabschnitt
0,1,1,2,"Geographie, Geologie und Geobasisdaten",strassenknoten
0,1,1,2,Politik und Wahlen,wahllokale
0,1,1,2,Politik und Wahlen,ergebnisse-der-bundestagswahlen-in-koeln-seit-1949-prozent
0,1,1,2,Politik und Wahlen,ergebnisse-der-bundestagswahlen-in-koeln-seit-1949-zahl
0,1,1,2,Politik und Wahlen,ergebnisse-der-europawahlen-in-koeln-seit-1979-prozent
0,1,1,2,Politik und Wahlen,ergebnisse-der-europawahlen-in-koeln-seit-1979-zahl
0,1,1,2,Politik und Wahlen,ergebnisse-der-kommunalwahlen-in-koeln-seit-1946-prozent
0,1,1,2,Politik und Wahlen,ergebnisse-der-kommunalwahlen-in-koeln-seit-1946-sitze
0,1,1,2,Politik und Wahlen,ergebnisse-der-kommunalwahlen-in-koeln-seit-1946-zahl
0,1,1,2,Politik und Wahlen,ergebnisse-der-landtagswahlen-in-koeln-seit-1947-prozent
0,1,1,2,Politik und Wahlen,ergebnisse-der-landtagswahlen-in-koeln-seit-1947-zahl
0,1,1,2,Politik und Wahlen,ergebnisse-der-landtagswahlen-in-koeln-seit-2010-erststimmen-prozent
0,1,1,2,Politik und Wahlen,ergebnisse-der-landtagswahlen-in-koeln-seit-2010-erststimmen-zahl
0,1,1,2,Politik und Wahlen,wahlvorschlaege-koeln-wahlkreis-93-bis-101
0,1,0.5,1.5,Politik und Wahlen,bundestagswahl-2009-zweitstimmen
0,1,0.5,1.5,Politik und Wahlen,bundestagswahl-2009-erststimmen
0,1,0.5,1.5,Politik und Wahlen,kommunalwahl-2009
0,1,0.5,1.5,Politik und Wahlen,landtagswahl-2012-erststimmen
0,1,0.5,1.5,Politik und Wahlen,landtagswahl-2012-zweitstimmen
0,1,1,2,Politik und Wahlen,2013-09-22-wahlbeteiligung-koeln
0,1,1,2,Politik und Wahlen,bundestagswahl11-stadtteil
0,1,1,2,Politik und Wahlen,bundestagswahl6-wahlbezirk
0,1,1,2,Politik und Wahlen,bundestagswahl8-stadtbezirk
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",umweltzone
0,1,0,1,Umwelt und Klima,pegelstand-stadt-koln
0,1,1,2,Transport und Verkehr,ampelanlagen-in-koln-gk
0,1,1,2,Transport und Verkehr,ampelanlagen-in-koln-wsg84
0,1,1,2,Bevölkerung,einwohner-gegenueberstellung-staatsbuergerschaft
0,1,1,2,Bevölkerung,stadtflache-einwohnerdichte-und-einwohner
0,1,1,2,Bevölkerung,einwohner-und-haushalteentwicklung
0,1,1,2,Bevölkerung,weibliche-einwohner
0,1,1,2,Bevölkerung,einwohner-nach-altersgruppen
0,1,1,2,Bevölkerung,einwohner-durchschnittsalter
0,1,1,2,Bevölkerung,einwohner-nach-konfession
0,1,1,2,Bevölkerung,einwohner-nach-familienstand
0,1,1,2,Bevölkerung,einwohner-mit-migrationshintergrund
0,1,1,2,Bevölkerung,einwohner-nach-art-des-migrationshintergrundes
0,1,1,2,Bevölkerung,auslander-nach-herkunftslandern
0,1,1,2,Bevölkerung,einwohnerbewegung
0,1,1,2,Bevölkerung,geburten-und-sterbefalle
0,1,1,2,Bevölkerung,haushaltsgrosse
0,1,1,2,Bevölkerung,haushalte-mit-kindern
0,1,1,2,Bevölkerung,wohnverhaltnisse
