update_time,license,format,overall,groups,id
0,1,1,2,,strassenverzeichnis-12-2016-der-stadt-krefeld
0,1,0,1,"Infrastruktur, Bauen und Wohnen",wohnungsangebot-in-krefeld
0,1,1,2,Bevölkerung,vornamenstatistik-fur-neugeborene-2012-in-krefeld
0,1,1,2,Bevölkerung,vornamenstatistik-fur-neugeborene-2016-in-krefeld
0,1,1,2,Bevölkerung,vornamenstatistik-fur-neugeborene-2013-in-krefeld
0,1,1,2,Bevölkerung,vornamenstatistik-fur-neugeborene-2014-in-krefeld
0,1,1,2,Bevölkerung,vornamenstatistik-fur-neugeborene-2015-in-krefeld
0,1,1,2,Bevölkerung,vornamenstatistik-fur-neugeborene-2011-in-krefeld
0,1,0,1,Soziales,familienkarte-der-stadt-krefeld
0,1,0,1,Bildung und Wissenschaft,bildungspaket-in-krefeld
0,1,0,1,Bildung und Wissenschaft,schulen-in-der-stadt-krefeld
0,1,0,1,Soziales,kindertages-und-jugendeinrichtungen-in-krefeld
0,1,0,1,Soziales,integrationsangebote-der-stadt-krefeld
0,1,0,1,Soziales,fluchtlingshilfe-bei-der-stadt-krefeld
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus,Soziales",familienkalender-der-stadt-krefeld
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus,Soziales",interkultureller-kalender-der-stadt-krefeld
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",hotels-und-restaurants-in-krefeld
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",veranstaltungskalender-der-stadt-krefeld
0,1,0,1,Soziales,migrantenselbstorganisationen-in-der-stadt-krefeld
0,1,0,1,Soziales,familienkompass-der-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Politik und Wahlen",stadtbezirke-der-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadtteile-der-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten",statistische-bezirke-der-stadt-krefeld
0,1,0,1,,baumstandorte-der-stadt-krefeld
0,1,1,2,,strassenlaternen-stadtgebiet-krefeld
0,1,1,2,,bundestagswahlergebnisse-2017-stadt-krefeld
0,1,1,2,,bundestagswahlergebnisse-2017-wk-110-und-114
0,1,0,1,"Geographie, Geologie und Geobasisdaten",poi-points-of-interest-der-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesundheit",geodaten-krankenhauser-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-offentliche-grunanlagen-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-ubernachtungsmoglichkeiten-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",geodaten-mobilfunksendemast-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-kinderspielplatze-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-sport-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",geodaten-parken-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-kultur-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-glaubenseinrichtungen-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Soziales",geodaten-behinderteneinrichtungen-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",geodaten-hundekotbeutelstationen-stadt-krefeld
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",geodaten-kindergarten-stadt-krefeld
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",geodaten-schulen-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",geodaten-jugendeinrichtungen-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",geodaten-altenpflegeheime-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",geodaten-behorden-in-der-stadt-krefeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten",liegenschaftskataster-stadt-krefeld
0,1,1,2,,vornamenstatistik-fur-neugeborene-2017-in-krefeld
0,1,0.5,1.5,,einwohnerzahlen-der-stadt-krefeld-2008-2017
0,1,0.5,1.5,,einwohnerdichte-der-stadt-krefeld-2017
