update_time,license,format,overall,groups,id
0.5,1,0,1.5,"Öffentliche Verwaltung, Haushalt und Steuern",zufriedenheit-mit-den-lebensbedingungen-jahreszahlen
0.5,1,0,1.5,"Kultur, Freizeit, Sport, Tourismus",zoo-leipzig-jahreszahlen
0.5,1,0,1.5,"Kultur, Freizeit, Sport, Tourismus",zoo-leipzig-quartalszahlen
0.5,1,0,1.5,"Infrastruktur, Bauen und Wohnen",wohnungsmieten-quartalszahlen
0.5,1,0,1.5,"Infrastruktur, Bauen und Wohnen",wohnungsmieten-jahreszahlen
0.5,1,0,1.5,"Infrastruktur, Bauen und Wohnen",wohnungsbestand-jahreszahlen1
0.5,1,0,1.5,"Infrastruktur, Bauen und Wohnen",wohnungsbestand-jahreszahlen
0.5,1,0,1.5,"Infrastruktur, Bauen und Wohnen",wohnsituation-jahreszahlen
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wohnberechtigte-einwohner-nach-familienstand-jahreszahlen
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wohnberechtigte-einwohner-nach-alter-jahreszahlen1
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wohnberechtigte-einwohner-jahreszahlen1
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wohnberechtigte-einwohner-quartalszahlen
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wohnberechtigte-einwohner-jahreszahlen
0,1,0,1,,witwe-bertha-wehnert-geb-beckmann-erbittet-konzessesion-zur-beforderung-von-auswanderern
0.5,1,0,1.5,Transport und Verkehr,wetterdaten-jahreszahlen
0.5,1,0,1.5,Transport und Verkehr,wasserhygiene-jahreszahlen
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wanderungen-jahreszahlen1
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wanderungen-jahreszahlen
0.5,1,0,1.5,"Soziales,Öffentliche Verwaltung, Haushalt und Steuern",wanderungen-quartalszahlen
0,1,0,1,,wahl-und-verpflichtung-der-makler-nach-der-neuen-maklerordnung
0,1,0,1,,von-den-schuhmachergesellen-gegen-die-meister-eingebrachte-beschwerden
0.5,1,0,1.5,Soziales,volkshochschule-jahreszahlen
0,1,0,1,,verschiedenes-uber-kunstgeiger-und-stadtpfeifer
0,1,0,1,,verschiedene-angelegenheiten-der-gemeinde-gohlis
0.5,1,0,1.5,Transport und Verkehr,verkehrsunfalle-jahreszahlen
0.5,1,0,1.5,Transport und Verkehr,verkehrsunfalle-quartalszahlen
0,1,0,1,,vereinswesen-und-volksversammlungen
0.5,1,0,1.5,Bildung und Wissenschaft,verarbeitendes-gewerbe-quartalszahlen
0.5,1,0,1.5,Bildung und Wissenschaft,verarbeitendes-gewerbe-jahreszahlen
