update_time,license,format,overall,groups,id
0.5,1,1,2.5,Politik und Wahlen,d12-landtagswahlen-linnich
0,1,1,2,Politik und Wahlen,d15-bundestagswahlen-linnich
1,1,1,3,Bevölkerung,d14-grabstatten-und-bestattungen-linnich
1,1,1,3,Wirtschaft und Arbeit,d16-gewerbeanmeldungen-linnich
0.5,1,1,2.5,Bevölkerung,d01-vornamen-eines-geburtsjahres-linnich
0.5,1,1,2.5,Bevölkerung,d02-anderung-familienstande-eines-jahres-linnich
0.5,1,1,2.5,Bevölkerung,d03-passierte-bewegungen-eines-jahres-linnich
0.5,1,1,2.5,Bevölkerung,d04-einwohner-nach-ortsteilen-linnich
0.5,1,1,2.5,Bevölkerung,d05-einwohner-gesamt-linnich
0.5,1,1,2.5,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-linnich
0.5,1,1,2.5,Bevölkerung,d07-familien-mit-anzahl-kinder-linnich
0.5,1,1,2.5,Bevölkerung,d08-familien-nach-grosse-linnich
0.5,1,1,2.5,Bevölkerung,d09-zu-und-wegzuge-eines-jahres-nach-ort-und-alter-linnich
