update_time,license,format,overall,groups,id
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-januar-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-februar-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-marz-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-april-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-mai-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-juni-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-juli-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-august-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-februar-20151
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-juni-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-juli-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-september-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-november-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-dezember-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-oktober-20131
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-januar-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-februar-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-marz-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-april-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-mai-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-juni-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-juli-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-august-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-september-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-oktober-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-november-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-dezember-20141
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-mai-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-april-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-marz-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-moers-de-fur-januar-20151
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-open-data-portal-moers-2014
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",dienstanweisung-social-media1
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",internetumfrage-20101
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",facebookumfrage-20121
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",internetumfrage-20131
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",facebookumfrage-20141
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",ubersichtskarte-zur-autobahnanbindung-von-moers1
0,1,1,2,"Infrastruktur, Bauen und Wohnen",strassenverzeichnis-der-stadt-moers-nach-stadtteilen-wohnplatzen-und-postleitzahlengebieten-akt1
0,1,1,2,,strassenverzeichnis-der-stadt-moers-nach-stadtteilen-wohnplatzen-und-postleitzahlengebi-02-20141
0,1,1,2,"Infrastruktur, Bauen und Wohnen",vorhandene-platze-in-kindertagesstatten1
0,1,0,1,Gesundheit,defibrillatoren-in-moers
0,1,1,2,Bevölkerung,geburten-sterbefalle-eheschliessungen-und-lebenspartnerschaften-2010-25-02-20151
0,1,1,2,Bevölkerung,bevolkerung-nach-ratswahlbezirken-20131
0,1,1,2,Bevölkerung,bevolkerung-nach-ratswahlbezirken-20091
0,1,1,2,"Bevölkerung,Bildung und Wissenschaft,Gesundheit,Infrastruktur, Bauen und Wohnen",burgerumfrage-50plus1
0,1,0,1,"Gesundheit,Infrastruktur, Bauen und Wohnen",offentliche-toiletten-in-moers-mit-hinweisen-fur-menschen-mit-behinderung1
0,1,1,2,Bildung und Wissenschaft,schuler-innen-gesamt-und-gebildete-klassen-an-den-schulen-der-stadt-moers-im-schuljahr-2014-151
0,1,1,2,Bildung und Wissenschaft,entwicklung-der-erstwunschquote-zu-den-weiterfuhrenden-schulen-fur-das-schuljahr-2014-151
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",teilnehmerbelegung-nach-jahreswochenstunden-von-1999-bis-2012-moerser-musikschule
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",teilnehmer-nach-instrumenten-in-der-moerser-musikschule-im-schuljahr-2012-20131
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",jahresrechnung-der-moerser-musikschule-20121
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",entwicklung-des-unterrichtsangebotes-der-moerser-musikschule1
0,1,1,2,Bevölkerung,bevolkerung-in-den-sozialatlasbezirken-20121
0,1,1,2,Bevölkerung,frauenanteil-in-den-sozialatlasbezirken-nach-altersstruktur-7-gruppen-20121
0,1,1,2,Bevölkerung,bevolkerung-in-den-sozialatlasbezirken-nach-wohnungsstatus-20121
