update_time,license,format,overall,groups,id
0,0,0,0,,adressliste
0,0,0,0,,branchen
0,0,0,0,,vereine2
0,0,0,0,,strassen1
0,0,0,0,,baustellen1
0,0,0,0,,camping-platze
0,0,0,0,,gastronomie
0,0,0,0,,tankstellen1
0,0,0,0,,wlan-hotspots
0,0,0,0,,haushaltsplanung
0,0,0,0,,landtagswahl-20172
0,0,0,0,,oberburgermeisterwahl-2015
0,0,0,0,,europawahl-20142
0,0,0,0,,bezirksvertretungswahl-2014
0,0,0,0,,ratswahl-2014
0,0,0,0,,vornamen3
0,0,0,0,,zugriffszahlen
0,0,0,0,,bundestagswahl-20173
0,0,0,0,,hotels
0,0,0,0,,ferienwohnungen-gastezimmer-privatunterkunfte
0,0,0,0,,energie-aus-wasserkraft
