update_time,license,format,overall,groups,id
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaft-landkreis-neuwied
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",datenkompass-tourismus-landkreis-neuwied
0,1,0,1,"Gesundheit,Soziales",datenkompass-soziales-und-gesundheit-landkreis-neuwied
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaftliche-entwicklungspotenziale-landkreis-neuwied
0,1,0,1,Transport und Verkehr,langzeitzahlstelle-auf-der-b-256-in-rheinbrucke-neuwied
0,1,0,1,Bildung und Wissenschaft,datenkompass-erziehung-und-bildung-landkreis-neuwied
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-vg-ebene-landkreis-neuwied
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-landkreis-neuwied
0,1,0,1,,datenkompass-bevolkerung-und-gebiet-haushalte-und-familien-landkreis-neuwied
0,1,0,1,Wirtschaft und Arbeit,datenkompass-arbeitsmarkt-erwerbstatigkeit-landkreis-neuwied
