update_time,license,format,overall,groups,id
0,1,1,2,"Verbraucherschutz,Wirtschaft und Arbeit",wochenmarkte
0,1,1,2,Bildung und Wissenschaft,wissenschaftliche_einrichtungen-hro
0.5,1,1,2.5,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",windenergieanlagen-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten",karte-nach-wiebeking-1786
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",wassersportanlagen1
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",warmebedarfsraster-2012
0,1,1,2,Politik und Wahlen,vornamen-von-neugeborenen-2017
0,1,1,2,Politik und Wahlen,vornamen-von-neugeborenen-2016
0,1,1,2,Politik und Wahlen,vornamen-von-neugeborenen-20151
0,1,1,2,Politik und Wahlen,vornamen-von-neugeborenen-20142
0,1,1,2,Politik und Wahlen,vornamen-von-neugeborenen-20132
0,1,1,2,Politik und Wahlen,vornamen-von-neugeborenen-20121
0,1,1,2,Politik und Wahlen,volksentscheid-2015
1,1,1,3,"Kultur, Freizeit, Sport, Tourismus,Soziales",vereine1
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",unterkuenfte-hro
0,1,1,2,Bildung und Wissenschaft,universitaet-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten",uferlinie
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",touristeninformation-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen",toiletten-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",taxistaende-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten",karte-nach-tarnow-1790
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",tanzschulen
1,1,1,3,"Transport und Verkehr,Wirtschaft und Arbeit",tankstellen-hro
0,1,1,2,"Verbraucherschutz,Wirtschaft und Arbeit",supermarkte1
0,1,1,2,"Öffentliche Verwaltung, Haushalt und Steuern",strassenreinigungssatzung1
0,1,1,2,Transport und Verkehr,strassenbahnlinien-hro
1,1,1,3,"Geographie, Geologie und Geobasisdaten,Transport und Verkehr,Öffentliche Verwaltung, Haushalt und Steuern",strassen-hro
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus,Transport und Verkehr,Öffentliche Verwaltung, Haushalt und Steuern",strandzugange
0,1,1,2,"Gesundheit,Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",strand-rettungsturme
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",strand-poi
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus,Öffentliche Verwaltung, Haushalt und Steuern",strandabschnitte-blocke
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",statistische_bloecke-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",statistische_bezirke-hro
0,1,1,2,Transport und Verkehr,stadtbuslinien-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",stadtbereiche-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",sporthallen-hro
0.5,1,1,2.5,"Verbraucherschutz,Wirtschaft und Arbeit",sozialkaufhauser-und-umsonstladen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",solarpotential-20131
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",solarpotential-hro
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",sehenswuerdigkeiten-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",schwimmbader1
0.5,1,1,2.5,Bildung und Wissenschaft,schulen-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten",schopfwerkeinflussbereiche1
0,1,1,2,"Geographie, Geologie und Geobasisdaten",karte-nach-schmettau-1788
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",schiffsliegeplatze
0,1,1,2,"Gesundheit,Verbraucherschutz,Wirtschaft und Arbeit",sanitatshauser1
0,1,1,2,"Infrastruktur, Bauen und Wohnen",sanierungsgebiet-hro
1,1,1,3,"Gesundheit,Infrastruktur, Bauen und Wohnen,Öffentliche Verwaltung, Haushalt und Steuern",rettungswachen-hro
0,1,1,2,Transport und Verkehr,reisebusterminals-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",recyclinghoefe-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",realnutzungskartierung-2014
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",realnutzungskartierung-2007
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",realnutzungskartierung-2002
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus,Transport und Verkehr",radwege-hro
1,1,1,3,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",radmonitore1
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Wirtschaft und Arbeit",poststellen1
1,1,1,3,"Geographie, Geologie und Geobasisdaten",postleitzahlengebiete-mecklenburg-vorpommern
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Wirtschaft und Arbeit",postbriefkasten1
0,1,1,2,"Gesetze und Justiz,Öffentliche Verwaltung, Haushalt und Steuern",polizeidienststellen1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",plan-von-rostock-1911
0,1,1,2,Soziales,pflegeeinrichtungen-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr,Umwelt und Klima",pedelec-verleihstationen
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",parkmoeglichkeiten-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Transport und Verkehr",parkautomaten
1,1,1,3,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",parkanlagen-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Umwelt und Klima",papiercontainer-hro
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Wirtschaft und Arbeit",paketautomaten1
1,1,1,3,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",ortsteile-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",ortsbeiratsbereiche-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",ortsamtsbereiche-hro
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Öffentliche Verwaltung, Haushalt und Steuern",offene_regionalkarte_mv-hro
0,1,1,2,Politik und Wahlen,oberburgermeisterwahl-20121
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Umwelt und Klima",naturdenkmale-hro
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",musik_tanzschulen-hro
