update_time,license,format,overall,groups,id
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaft-kreisfreie-stadt-speyer
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",datenkompass-tourismus-kreisfreie-stadt-speyer
0,1,0,1,"Gesundheit,Soziales",datenkompass-soziales-und-gesundheit-kreisfreie-stadt-speyer
0,1,0,1,Gesetze und Justiz,programm-2-speyerer-forum-april-2013
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaftliche-entwicklungspotenziale-kreisfreie-stadt-speyer
0,1,0,1,Transport und Verkehr,langzeitzahlstelle-auf-der-b-9-in-as-kreuz-speyer-vq-sud
0,1,0,1,Bildung und Wissenschaft,datenkompass-erziehung-und-bildung-kreisfreie-stadt-speyer
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-kreisfreie-stadt-speyer
0,1,0,1,Bevölkerung,datenkompass-bevolkerung-und-gebiet-haushalte-und-familien-kreisfreie-stadt-speyer
0,1,0,1,Wirtschaft und Arbeit,datenkompass-arbeitsmarkt-erwerbstatigkeit-kreisfreie-stadt-speyer
