update_time,license,format,overall,groups,id
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2007
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2008
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2009
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2010
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2011
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2012
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2013
0,1,1,2,,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2014
0,1,1,2,Politik und Wahlen,wahlergebnis-der-landtagswahl-2012-fur-bottrop
0,1,1,2,Bevölkerung,entwicklung-der-geburten-in-den-statistischen-bezirken-1996-2015
0,1,1,2,Bevölkerung,entwicklung-der-sterbefalle-in-den-statistischen-bezirken-1996-2015
0,1,1,2,Bevölkerung,bevolkerung-am-ort-der-hauptwohnung-nach-geschlecht
0,1,1,2,Bevölkerung,entwicklung-der-umzuge-innerhalb-bottrops
0,1,1,2,Bevölkerung,entwicklung-der-wegzuge-innerhalb-bottrops
0,1,1,2,Bevölkerung,entwicklung-der-zuzuge-innerhalb-bottrops
0,1,1,2,Bevölkerung,entwicklung-der-bevolkerung-am-ort-der-hauptwohnung
0,1,1,2,Bevölkerung,entwicklung-der-migranten-und-migrantinnen-am-ort-der-hauptwohnung
0,1,1,2,Bildung und Wissenschaft,gesamtuberblick-aller-schulen-in-bottrop
0,1,1,2,Politik und Wahlen,wahlergebnis-der-bundestagswahl-2013-fur-bottrop
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-in-bottrop-gemeldeten-personen-2016
0,1,1,2,Politik und Wahlen,wahlergebnis-der-bundestagswahl-2017-fur-bottrop
0,1,1,2,Politik und Wahlen,wahlergebnis-der-landtagswahl-2017-fur-bottrop
0,1,1,2,Politik und Wahlen,wahlergebnis-der-europawahl-2014-fur-bottrop
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-in-bottrop-gemeldeten-personen-2015
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-in-bottrop-gemeldeten-personen-2011
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-in-bottrop-gemeldeten-personen-2012
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-in-bottrop-gemeldeten-personen-2013
0,1,1,2,Bevölkerung,staatsangehorigkeiten-der-in-bottrop-gemeldeten-personen-2014
0,1,1,2,Bevölkerung,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2015
0,1,1,2,Bevölkerung,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2016
0.5,1,1,2.5,Bevölkerung,bevolkerung-nach-altersklassen-in-den-statistischen-bezirken-2017
1,1,1,3,Bevölkerung,bevolkerung-haupt-und-nebenwohnsitz-2008
1,1,1,3,,bevolkerung-haupt-und-nebenwohnsitz-2009
1,1,1,3,,bevolkerung-haupt-und-nebenwohnsitz-2010
1,1,1,3,Bevölkerung,bevolkerung-haupt-und-nebenwohnsitz
