update_time,license,format,overall,groups,id
0,1,0,1,,veranstaltungskalender-der-stadt-kleve
0,1,0,1,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",sehenswurdigkeiten-in-kleve
0,1,0,1,,stimmbezirke-der-stadt-kleve
0,1,0,1,,wahlbezirke-der-stadt-kleve
0,1,1,2,,strassenverzeichnis-der-stadt-kleve
0,1,1,2,,spiel-und-bolzplatze-der-stadt-kleve
0,1,1,2,,jugendeinrichtungen-der-stadt-kleve
0,1,1,2,,vornamenstatistik-fur-neugeborene-2009-in-kleve
0,1,1,2,,vornamenstatistik-fur-neugeborene-2010-in-kleve
0,1,1,2,,vornamenstatistik-fur-neugeborene-2011-in-kleve
0,1,1,2,,vornamenstatistik-fur-neugeborene-2012-in-kleve
0,1,1,2,,gewerbean-und-abmeldungen-2006-2015
0,1,1,2,,vornamenstatistik-fur-neugeborene-2013-in-kleve
0,1,1,2,,vornamenstatistik-fur-neugeborene-2014-in-kleve
0,1,1,2,,vornamenstatistik-fur-neugeborene-2015-in-kleve
0,1,1,2,,steuern-stadt-kleve
0,1,0,1,,pressemitteilungen-der-stadt-kleve
0,1,1,2,,parkleitsystem-stadt-kleve
0,1,1,2,,geographische-lage-der-stadt-kleve
0,1,1,2,,pendlerstatistik-2010-bis-2014
0,1,1,2,,hohenlage-der-stadt-kleve
0,1,1,2,,gebietsgrosse-nach-ortsteilen
0,1,1,2,,lange-der-stadtgrenze-der-stadt
0,1,0,1,,zugriffsstatistiken-von-kleve-de-2016
0,1,1,2,,apothekenverzeichnis-kleve
0,1,0,1,,zugriffsstatistiken-http-www-kleve-de-dezember-2015
0,1,1,2,,vornamenstatistik-fur-neugeborene-2016-in-kleve
0,1,0,1,,vereine-in-der-stadt-kleve
0,1,1,2,,bevolkerungsstatistik-2015-bis-marz-2017
0,1,1,2,,steuern-stadt-kleve-2010-bis-2017
0,1,1,2,,bevolkerungsstruktur-stand-2015
0,1,1,2,,kaufkraft-in-kleve-2010-bis-2016
0,1,1,2,,arbeitslosenquote-2012-bis-marz-2017
0,1,1,2,,pendlerbewegung-kleve-stand-juni-dezember-2016
0,1,1,2,,sozialversicherungspflichtig-beschaftigte-juni-2010-bis-juni-2016
0,1,1,2,,gewerbean-abmeldungen-2012-bis-marz-2017
0,1,1,2,,ergebnis-landtagswahl-2017-fur-das-stadtgebiet-kleve
0,1,1,2,,kindertagesstatten-in-kleve
0,1,1,2,,bevolkerungsstatistik-2016-bis-juni-2017
0,1,1,2,,kaufkraft-in-kleve-2011-bis-2017
0,1,0.5,1.5,,arbeitslosenquote-2013-bis-juni-2017
0,1,1,2,,arbeitsplatzdichte-juni-2010-bis-juni-2016
0,1,1,2,,gewerbean-abmeldungen-2012-bis-juni-2017
0,1,1,2,,vermarktung-vermittlung-gewerbegrundstucke-objekte-2011-bis-2016
0,1,1,2,,arbeitslosenquote-2008-2015
0,1,0,1,,zugriffsstatistiken-von-kleve-de-2017
0.5,1,0,1.5,,zugriffsstatistiken-von-kleve-de-2018
