update_time,license,format,overall,groups,id
0,1,0,1,"Infrastruktur, Bauen und Wohnen",zugriffsstatistik-offenes-wlan-rathaus-stadt-wesel
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",veranstaltungen-in-wesel
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",meldungen-der-stadtverwaltung-wesel
0,1,0,1,Bildung und Wissenschaft,artikel-im-onlineshop-des-stadtarchivs-wesel
0,1,0,1,Soziales,angebote-fruhe-hilfen-in-wesel
0,1,0,1,Bevölkerung,vornamenstatistik-fur-neugeborene-2014-in-wesel
0,1,0,1,Bevölkerung,vornamenstatistik-fur-neugeborene-2004-2013-in-wesel
0,1,1,2,"Infrastruktur, Bauen und Wohnen",rechtskraftige-bebauungsplane-in-wesel
0,1,1,2,"Infrastruktur, Bauen und Wohnen",bebauungsplane-laufende-verfahren-in-wesel
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",strassenverzeichnis-von-wesel
0,1,1,2,Bevölkerung,wohnbevolkerung-in-wesel-altersaufbau-hwi-nwi-zum-30-06
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-2015-stadt-wesel
0,1,1,2,"Infrastruktur, Bauen und Wohnen",offentliche-toiletten-in-wesel
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-entwurf-2016-stadt-wesel
0,1,0,1,Bevölkerung,vornamenstatistik-fur-neugeborene-2015-in-wesel
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",spielplatze-in-der-stadt-wesel
0,1,1,2,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",stolpersteine-in-wesel
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",zugriffsstatistiken-von-wesel-de-2015-ab-oktober
0,1,0,1,,baugrundstucke-in-wesel
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",haushaltsplan-2016-der-stadt-wesel
0,1,1,2,"Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus",fahrradservicepunkte-in-wesel
0,1,0,1,Bildung und Wissenschaft,anmeldungen-zur-weiterfuhrenden-schule-in-wesel-2016
0,1,1,2,Umwelt und Klima,ausgabestellen-fur-hundekot-beutel-im-stadtgebiet-wesel
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",gedenkstatten-in-wesel
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",aufwand-und-ertrag-der-gebaude-der-stadt-wesel-2015
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus",sehenswurdigkeiten-in-wesel
