update_time,license,format,overall,groups,id
0,0,0.5,0.5,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",ea750596-9496-4e7d-9191-695f40db679b
0,0,0,0,"Wirtschaft und Arbeit,Öffentliche Verwaltung, Haushalt und Steuern",ef00d709-fe1c-48f3-a60c-6917173d2261
0,0,0.5,0.5,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen,Wirtschaft und Arbeit",8cc29432-bf8e-4005-870b-513c82d2e10f
0,0,0,0,Politik und Wahlen,7807d1ec-32ae-41ab-9483-7e76ba58ff9c
0,0,0,0,"Kultur, Freizeit, Sport, Tourismus,Öffentliche Verwaltung, Haushalt und Steuern",34fd89de-291b-47de-baab-0b925604e8fe
0,0,0.5,0.5,Bevölkerung,1c6c7583-a01a-4a8e-8d02-cc44abfe5e21
0,0,0,0,"Gesundheit,Soziales,Wirtschaft und Arbeit",49484b13-deb4-4537-af0b-ca74a972a0b1
0,0,0,0,Politik und Wahlen,42ec51e8-f14e-4b46-9f16-d8845d7343cc
0,0,0.5,0.5,"Infrastruktur, Bauen und Wohnen,Soziales",334f2cc9-afb5-4fb5-bac9-034eed9f47e0
0,0,0,0,"Kultur, Freizeit, Sport, Tourismus",c5394801-019b-460a-9d9f-3975194a62bf
0,0,0.5,0.5,Bildung und Wissenschaft,42604ed9-30a4-4323-aefc-7ad9bfbecdb2
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",9ba1cf1b-858a-4ecc-afed-274eaaa1c19d
0,0,0,0,Gesundheit,6a144ef8-5339-427e-aa30-f8b93228f13a
0,0,0.5,0.5,Wirtschaft und Arbeit,36693b39-6420-42c6-b5b2-8ba729140b30
0,0,0.5,0.5,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Kultur, Freizeit, Sport, Tourismus,Soziales,Transport und Verkehr,Umwelt und Klima,Wirtschaft und Arbeit,Öffentliche Verwaltung, Haushalt und Steuern",8e14e157-4c0f-48a7-9840-28576e9efafa
0,0,0,0,Bildung und Wissenschaft,b4b33770-ba11-4471-98f3-31579b1fd465
0,0,0.5,0.5,Politik und Wahlen,bb0ba6e1-5874-48e3-876d-b80701532c56
0,0,0,0,"Kultur, Freizeit, Sport, Tourismus",8bf36c12-e772-48cf-8025-05852854e1c9
0,0,0.5,0.5,Politik und Wahlen,41ffdf9f-edf2-4655-9f86-ca42f18dc229
0,0,0.5,0.5,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",2b73fed9-7609-49d8-9bcf-c05db0fe72c8
