update_time,license,format,overall,groups,id
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienrachdorf-ebene-marienrachdorf
0,1,0,1,"Geographie, Geologie und Geobasisdaten",maroth-ebene-umringe-der-bebauungsplane-von-maroth1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienrachdorf-ebene-bebauungsplane1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",selterswesterwald-ebene-bebauungsplane1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",selterswesterwald-ebene-selterswesterwald
0,1,0,1,"Geographie, Geologie und Geobasisdaten",maroth-ebene-maroth
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",maroth-ebene-am-schulgarten1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",herschbach-ebene-bierberg-2
0,1,0,1,"Geographie, Geologie und Geobasisdaten",selterswesterwald-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienrachdorf-ebene-umringe-der-bebauungsplane-von-marienrachdorf
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",maroth-ebene-am-schulgarten
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",herschbach-ebene-burgwiesengarten-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sessenhausen-ebene-auf-dem-steinacker-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sessenhausen-ebene-gewerbegebiet
0,1,0,1,"Geographie, Geologie und Geobasisdaten",maroth-ebene-umringe-der-bebauungsplane-von-maroth
0,1,0,1,"Geographie, Geologie und Geobasisdaten",herschbach-ebene-bebauungsplane
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",herschbach-ebene-burgwiesengarten
0,1,0,1,"Geographie, Geologie und Geobasisdaten",sessenhausen-ebene-umringe-der-bebauungsplane-von-sessenhausen
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienrachdorf-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",maxsain-ebene-umringe-der-bebauungsplane-von-maxsain
0,1,0,1,"Geographie, Geologie und Geobasisdaten",sessenhausen-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",maroth-ebene-bebauungsplane
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",maxsain-ebene-rotherde-rubengarten-2
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",marienrachdorf-ebene-in-dem-birngarten
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",herschbach-ebene-bierberg-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sessenhausen-ebene-auf-dem-steinacker
0,1,0,1,"Geographie, Geologie und Geobasisdaten",maxsain-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",herschbach-ebene-umringe-der-bebauungsplane-von-herschbach
