update_time,license,format,overall,groups,id
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-einzeldenkmaler-linien
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-einzeldenkmaeler-flach
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkirchen-digitale-denkmalliste
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-denkmalzonen-grunflach
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-denkmalzonen1
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-bauliche-gesamtanlagen
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-einzeldenkmaler-punkte
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaft-landkreis-altenkirchen-ww
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",datenkompass-tourismus-landkreis-altenkirchen-ww
0,1,0,1,"Gesundheit,Soziales",datenkompass-soziales-und-gesundheit-landkreis-altenkirchen-ww
0,1,0,1,Wirtschaft und Arbeit,datenkompass-wirtschaftliche-entwicklungspotenziale-landkreis-altenkirchen-ww
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-bauliche-gesamtanlage
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-denkmalzonen
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-denkmalzonen-grunflac
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-einzeldenkmaler-linie
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-einzeldenkmaeler-flac
0,1,0,1,Bildung und Wissenschaft,datenkompass-erziehung-und-bildung-landkreis-altenkirchen-ww
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-vg-ebene-landkreis-altenkirchen-ww
0,1,0,1,Bevölkerung,demografischer-wandel-bevolkerungsvorausberechnung-landkreis-altenkirchen-ww
0,1,0,1,Bevölkerung,datenkompass-bevolkerung-und-gebiet-haushalte-und-familien-landkreis-altenkirchen
0,1,0,1,Wirtschaft und Arbeit,datenkompass-arbeitsmarkt-erwerbstatigkeit-landkreis-altenkirchen-ww
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkirchen-digitale-denkmallist
0,1,0,1,"Bevölkerung,Geographie, Geologie und Geobasisdaten,Umwelt und Klima,Wirtschaft und Arbeit",landkreis-altenkirchen-digitale-denkmalliste-ebene-landkreis-altenkichen-einzeldenkmaler-punkt
