update_time,license,format,overall,groups,id
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-vor-der-loh
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-kleinmaischeid-ost-teil-i
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-schlossergarten
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-in-der-larsheck-teil-i
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-auf-der-grossen-birke
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-in-der-larsheck-teil-ii-und-iii
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-dierdorf-west-teil-i-1-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-umringe-der-bebauungsplane-von-kleinmaischeid
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",marienhausen-ebene-im-obersten-garten
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-vier-morgen-2-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienhausen-ebene-bebauungsplane
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-gewerbegebiet-hofacker-1-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-umringe-der-bebauungsplane-von-dierdorf
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-bebauungsplan-gewerbepark-marker-wald-b-413-2-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",isenburg-ebene-isenburg1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stebach-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienhausen-ebene-marienhausen
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-kleinmaischeid-ost-ii-1-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stebach-ebene-stebach
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-gewerbegebiet-hofacker-2-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",marienhausen-ebene-umringe-der-bebauungsplane-von-marienhausen
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-dierdorf-west-teil-i-1-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stebach-ebene-umringe-der-bebauungsplane-von-stebach
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",marienhausen-ebene-mittelstrasse-ii-bauabschnitt
0,1,0,1,"Geographie, Geologie und Geobasisdaten",isenburg-ebene-umringe-der-bebauungsplane-von-isenburg1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stebach-ebene-nonnenhofchen-lindenstrasse-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-bebauungsplan-gewerbepark-marker-wald-b-413
0,1,0,1,"Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-grossmaischeid
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-dierdorf-west-teil-ii
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",marienhausen-ebene-marienhausen-ost
0,1,0,1,"Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-bebauungsplane
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stebach-ebene-nonnenhofchen-lindenstrasse
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-im-barengarten-1-and
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-gewerbegebiet-hofacker-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-gewerbegebiet-hofacker-3-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",dierdorf-ebene-umringe-der-bebauungsplane-von-dierdorf
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-ober-fuchshege
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-wohngebiet-hofacker-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-marker-wald-b-413-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-ober-fuchshege
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-marker-wald-b-413-3-anderung-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-auf-dem-acker
0,1,0,1,"Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-umringe-der-bebauungsplane-von-grossmaischeid
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-schlossergarten-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-am-spaniergarten
0,1,0,1,"Geographie, Geologie und Geobasisdaten",isenburg-ebene-bebauungsplane1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",isenburg-ebene-tiefenthal-1-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",dierdorf-ebene-bebauungsplan-gewerbepark-marker-wald-b-413-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-gewerbegebiet-hofacker-3-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-vier-morgen-2-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-bebauungsplane
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-bebauungsplan-marker-wald-b-413-6-anderung-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-dierdorf-west-teil-ii
0,1,0,1,"Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-stadt-dierdorf
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-im-grundchen-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",grossmaischeid-ebene-auf-der-hochanwand-2-and
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-wohngebiet-hofacker-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",stadt-dierdorf-ebene-gewerbegebiet-hofacker-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-kleinmaischeid-ost-ii
0,1,0,1,"Geographie, Geologie und Geobasisdaten",dierdorf-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",dierdorf-ebene-dierdorf
0,1,0,1,"Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-kleinmaischeid
0,1,0,1,"Geographie, Geologie und Geobasisdaten",kleinmaischeid-ebene-bebauungsplane
0,1,0,1,Transport und Verkehr,langzeitzahlstelle-auf-der-a-3-in-as-dierdorf-vq-nord
0,0,0,0,"Geographie, Geologie und Geobasisdaten",isenburg-ebene-bebauungsplane
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",isenburg-ebene-tiefenthal-1-anderung
0,0,0,0,"Geographie, Geologie und Geobasisdaten",isenburg-ebene-umringe-der-bebauungsplane-von-isenburg
0,0,0,0,"Geographie, Geologie und Geobasisdaten",isenburg-ebene-isenburg
