update_time,license,format,overall,groups,id
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-heilbrunnchen-i-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-9-anderung
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-ii-3-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-7-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-heilbrunnchen-i-4-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-4-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-schul-und-sportzentrum-3-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-ortsmittelpunkt-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-wiebelsborn1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-3-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-schul-und-sportzentrum-5-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-hinter-dem-agrarhistorischen-museum1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-schul-und-sportzentrum1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-umringe-der-bebauungsplane-von-emmelshausen1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-schul-und-sportzentrum-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",dorth-ebene-umringe-der-bebauungsplane-von-dorth1
0,0,0,0,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",dorth-ebene-budenbach1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-kloppchen1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-am-kirchweg1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-heilbrunnchen-ii1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-erganzungssatzung-simmerner-strasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",ney-ebene-in-den-schmidtstucken-ii-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-schul-und-sportzentrum-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-ii1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-auf-der-galgenhohe1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-ortsmittelpunkt1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-vorderes-henchen-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-schwaller-dell1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",ney-ebene-in-den-kirchgarten-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-henchen-i-6-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",emmelshausen-ebene-heilbrunnchen-i1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",bickenbach-ebene-auf-der-trift-ober-dem-dorf-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",lingerhahn-ebene-auf-dem-heugarten-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",morshausen-ebene-in-den-putzgarten1
