update_time,license,format,overall,groups,id
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",murlenbach-ebene-auf-dem-hostert1
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",murlenbach-ebene-haus-hersbach1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",hohenfels-essingen-ebene-kombinierte-satzung-ortsgemeinde-hohenfels-essingen1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-auf-dem-beuert-2-anderung1
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",murlenbach-ebene-an-der-remelsbach-3-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-auf-dem-sand-aufhebung-und-neuaufstellung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-vorderste-dell-erganzung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-sanierungsgebiet-i-1-vorgezogenes-verfahren-rondell1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",neroth-ebene-auf-lohren-aufhebung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",pelm-ebene-im-studentenfeld-und-studentenfeld-aufhebung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",kalenborn-scheuern-ebene-unter-der-held1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-am-bruckelchen-2-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-sanierungsgebiet-i-2-vorgezogenes-verfahren-kaiserhof-rondell-teilaufhebung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-ferienhausgebiet-hillenseifen-1-anderung2
0,1,0,1,"Geographie, Geologie und Geobasisdaten",kalenborn-scheuern-ebene-kalenborn-scheuern2
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",murlenbach-ebene-klarstellungs-erganzungssatzung-murlenbach1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",neroth-ebene-umringe-der-bebauungsplane-von-neroth1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-hinter-dem-acker-teilaufhebung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",pelm-ebene-seiderath-wochenendhausgebiet-1-anderung-und-erganzung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-lindenstrasse-1-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",pelm-ebene-im-grundacker-aufhebung-und-neufassung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",pelm-ebene-walsweiler1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-auf-dem-acker1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",birresborn-ebene-im-lierchesseifen1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",neroth-ebene-in-der-hohrheck1
0,1,0,1,"Geographie, Geologie und Geobasisdaten,Gesetze und Justiz,Infrastruktur, Bauen und Wohnen,Transport und Verkehr",murlenbach-ebene-erganzungssatzung-burgring1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-ferienhausgebiet-hillenseifen-1-anderung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-in-der-weide1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-abrundungssatzung-hinterhausen1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",duppach-ebene-bplan-auf-dem-langen-garten1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-abrundungssatzung-gerolstein-lissingen-oberdorf1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",birresborn-ebene-salmer-strasse1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-auf-der-bockleber-aufhebung1
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",gerolstein-ebene-krankenbronnchen1
