update_time,license,format,overall,groups,id
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",hamm-sieg-ebene-am-balkertsberg
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",etzbach-ebene-heckenhof
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",furthen-ebene-leimkaul-2-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",etzbach-ebene-friedhofstrasse-1-formliche-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",roth-ebene-aufm-malsfeld
0,1,0,1,"Geographie, Geologie und Geobasisdaten",seelbach-bei-hamm-sieg-ebene-bebauungsplane
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",furthen-ebene-leimkaul
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",furthen-ebene-leimkaul-nr-2-teil-2-4-vereinfachte-anderung
0,1,0,1,"Geographie, Geologie und Geobasisdaten",furthen-ebene-furthen
0,1,0,1,"Geographie, Geologie und Geobasisdaten",furthen-ebene-umringe-der-bebauungsplane-von-furthen
0,1,0,1,"Geographie, Geologie und Geobasisdaten",forst-ebene-umringe-der-bebauungsplane-von-forst
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",furthen-ebene-kappenstein
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",forst-ebene-l-267
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",furthen-ebene-leimkaul-nr-2-teil-2
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",seelbach-bei-hamm-sieg-ebene-vor-dem-tor
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",forst-ebene-forst-nord-1-formliche-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",furthen-ebene-blumenstrasse
0,1,0,1,"Geographie, Geologie und Geobasisdaten",forst-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",furthen-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",forst-ebene-forst
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",hamm-sieg-ebene-auf-der-eisenkaul
0,1,0,1,"Geographie, Geologie und Geobasisdaten",roth-ebene-bebauungsplane1
0,1,0,1,"Geographie, Geologie und Geobasisdaten",hamm-sieg-ebene-bebauungsplane
0,1,0,1,"Geographie, Geologie und Geobasisdaten",roth-ebene-umringe-der-bebauungsplane-von-roth2
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",roth-ebene-aufm-grafental
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",roth-ebene-aufm-grossen-feld-b-256
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",roth-ebene-vorn-aufm-schlag
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",niederirsen-ebene-ortsteil-ueckertseifen
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",hamm-sieg-ebene-auf-der-eisenkaul-1-anderung
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",hamm-sieg-ebene-auf-der-auerhard
0,1,0,1,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",hamm-sieg-ebene-ortsmitte-iii
0,1,0,1,"Geographie, Geologie und Geobasisdaten",niederirsen-ebene-niederirsen
