update_time,license,format,overall,groups,id
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",urbar-ebene-hinter-der-ziegelhutte-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",urbar-ebene-am-sportplatz1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",urbar-ebene-umringe-der-bebauungsplane-von-urbar1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",laudert-ebene-laudert1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",urbar-ebene-bebauungsplane2
0,0,0,0,"Geographie, Geologie und Geobasisdaten",damscheid-ebene-damscheid1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",urbar-ebene-am-sportplatz-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",damscheid-ebene-bebauungsplane1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",urbar-ebene-hinter-der-ziegelhutte-3-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",urbar-ebene-hinter-der-ziegelhutte-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",wiebelsheim-ebene-nackweg1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",wiebelsheim-ebene-umringe-der-bebauungsplane-von-wiebelsheim1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",laudert-ebene-nordlich-sportplatz1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",laudert-ebene-umringe-der-bebauungsplane-von-laudert1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",laudert-ebene-erganzungssatzung-ober-der-muhlwies1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",wiebelsheim-ebene-auf-der-gass-1-anderung1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",sankt-goar-ebene-umringe-der-bebauungsplane-von-sankt-goar1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sankt-goar-ebene-hellsgasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sankt-goar-ebene-in-den-kreuzgarten-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sankt-goar-ebene-in-der-stiftswiese1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sankt-goar-ebene-vor-dem-schlag-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",sankt-goar-ebene-vor-dem-schlag-1-anderung1
