update_time,license,format,overall,groups,id
0,1,1,2,Politik und Wahlen,d12-landtagswahlen-vettweiss
0,1,1,2,Politik und Wahlen,d15-bundestagswahlen-vettweiss
0,1,1,2,Bevölkerung,d01-vornamen-eines-geburtsjahres-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d02-anderung-familienstande-eines-jahres-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d03-passierte-bewegungen-eines-jahres-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d04-einwohner-nach-ortsteilen-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d14-grabstatten-und-bestattungen-vettweiss
0,1,1,2,Bevölkerung,d05-einwohner-gesamt-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d06-einwohner-nach-alter-und-staatsangehorigkeit-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d07-familien-mit-anzahl-kinder-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d08-familien-nach-grosse-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d09-zu-und-wegzuge-nach-ort-und-alter-der-gemeinde-vettweiss
0,1,1,2,Bevölkerung,d10-einzelnachweise-zu-und-wegzuge-eines-jahres-gemeinde-vettweiss
0,1,1,2,Transport und Verkehr,d11-einzelnachweise-bussgelder-ruhender-verkehr-gemeinde-vettweiss
0,1,1,2,Wirtschaft und Arbeit,d16-gewerbeanmeldungen-vettweiss
