update_time,license,format,overall,groups,id
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-11sechs-morgen-anderung-2-teilanderung-31
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-7-zwischen-schwarzbach-und-pirmasenser-strasse-teilanderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ix-17-am-etzelweg-gewerbegebiet-sud-teilanderung-2
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-74-ostlich-der-lanzstrasse-teilanderung-und-erweiterung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ri-28-im-kurzen-feld1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-74-ostlich-der-lanzstrasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-157-campingplatz-biergarten1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-wa-15-aussenbereichssatzung-molschbergerhof1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-78-hilgard-center-anderungsplan-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ix-17-am-etzelweg-gewerbegebiet-sud
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-111-weisse-kaserne1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-11-sechs-morgen-anderung-2-teilanderung-41
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-115-zwischen-quebecstrasse-und-obere-himmelsbergstrasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ix17-am-etzelweg-gewerbegebiet-sud-teilanderung-41
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-11-sechs-morgen-anderung-2-teilanderung-51
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-124-fortf-sudtangente-anschluss-bahnhof-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-66-ehemalige-stadtgaertnerei1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ew-6-gewerbegiet-saarplatzstrasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ix-17-am-etzelweg-gewerbegebiet-sud-teilanderung-1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-97-westlich-der-amerikastrasse-1-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-114-obere-denisstrasse-anderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-mo-15-im-hanfgarten1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-0-innenstadt-aenderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-121-guterbahnhof1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-121-guterbahnhof-teilanderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ew-6-gewerbegiet-saarplatzstrasse-teilanderung-11
0,0,0,0,"Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-flachennutzungsplan-teilanderung-41
0,0,0,0,"Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-flachennutzungsplan-teilanderung-21
0,0,0,0,"Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-flachennutzungsplan-teilanderung-11
0,0,0,0,"Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-flachennutzungsplan-teilanderung-81
0,0,0,0,"Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-flachennutzungsplane1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-78-hilgard-center1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-24-rapsmuhle1
0,0,0,0,"Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-umringe-der-flachennutzungsplane-von-zweibruecken1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ri-12-zwischen-vogesenstrasse-und-pfalzstrasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-bh33-ehemalige-landwirtschaftsschule1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-42-wohnpark-vor-den-zeilbaeumen1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-151-rote-kaserne1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-126-ostlich-der-amerikastrasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-bh-6-am-olkorbberg1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ew-2-auf-dem-sand-am-hasensteig-anderung-21
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ri-27-feuerwehrhaus-rimschweiler1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-wa-16-aussenbereichssatzung-kettersbergerhof1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-121-guterbahnhof-2-anderung1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-126-ostlich-der-amerikastrasse-teilanderung-21
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-7-zwischen-schwarzbach-und-pirmasenser-strasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-mo-18-kindertagesstaette-hoehenstrasse1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ri-12-zwischen-vogesenstrasse-und-pfalzstrasse-teilanderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-zw-126-ostlich-der-amerikastrasse-anderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-bh-6-am-olkorbberg-teilanderung-11
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-32-hinten-auf-den-zeilbaeumen1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-41-kreuzung-pirmasenser-strasse-l471-westlicher-teil1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-ew-2-auf-dem-sand-am-hasensteig1
0,0,0,0,"Bildung und Wissenschaft,Geographie, Geologie und Geobasisdaten",zweibrucken-ebene-na-11-sechs-morgen-anderung-21
