city_type,open_formats,id,days_between_start_and_last_update,days_since_last_update,format_count,latitude,category_score,days_since_start,open_license_and_format_count,category_count,portal,dataset_score,open_formats_datasets,datasets,name,created_at,longitude,contact_email,contact_person,category_variance,open_datasets,dataset_rank,formats_rank,last_update_rank,category_rank,category_variance_rank,dataset_score_rank,category_score_rank,dataset_rank_std,formats_rank_std,last_update_rank_std,category_rank_std,category_variance_rank_std,dataset_score_rank_std,category_score_rank_std,overall_rank_data,overall_rank
Stadt,132,aachen,,0,8,50.776351,0.5,,0,12,http://daten.aachen.de,1.6066666666666667,0,75,Aachen,2015-01-05T17:19:11.310298,6.0838618,,,74.38636363636363636363636364,73,29,8,1,9,52,7,5,32.58426966292134831460674157,11.26760563380281690140845070,1.408450704225352112676056338,10.46511627906976744186046512,60.46511627906976744186046512,14.00,13.88888888888888888888888889,21.86303081678527492283472686,4
Stadt,0,andernach,,28,1,50.4354202,0,,0,2,,1,0,316,Andernach,2015-01-05T17:19:10.144883,7.3993254,,,128,316,11,35,19,58,54,13,36,12.35955056179775280898876404,49.29577464788732394366197183,26.76056338028169014084507042,67.44186046511627906976744186,62.79069767441860465116279070,26.00,100,48.22946963200683244216442313,24
Stadt,0,augsburg,,,0,48.3668041,0,,0,0,,0,0,0,Augsburg,2015-01-05T17:19:42.589638,10.8986971,,OB Sven Gerich,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Kreisstadt,0,badduerkheim,,28,2,49.4632944,0.5,,0,11,,1,0,24,Bad Dürkheim,2015-01-05T17:19:22.134802,8.1705063,,,56.0545454545454545454545455,24,42,21,19,15,50,13,5,47.19101123595505617977528090,29.57746478873239436619718310,26.76056338028169014084507042,17.44186046511627906976744186,58.13953488372093023255813953,26.00,13.88888888888888888888888889,30.30680356563794198499693927,17
Stadt,0,baindt,,,0,47.8420535,0,,0,0,,0,0,0,Baindt,2015-01-05T17:19:39.351320,9.6622081,,Bürgermeister Elmar Buemann,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,247,berlin,,0,31,52.5170365,1,,0,14,http://daten.berlin.de,0.98,0,1000,Berlin,2015-01-05T17:19:10.626358,13.3888599,,,790.6428571428571428571428577,788,1,1,1,1,70,39,1,1.123595505617977528089887640,1.408450704225352112676056338,1.408450704225352112676056338,1.162790697674418604651162791,81.39534883720930232558139535,78.00,2.777777777777777777777777778,44.27620203700500612693748492,23
Stadt,0,bielefeld,,,0,52.0207745,0,,0,0,,0,0,0,Bielefeld,2015-01-05T17:19:41.205820,8.5308962,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,bochum,,,0,51.482321,0,,0,0,http://www.bochum.de/opendata,0,0,0,Bochum,2015-01-05T17:19:18.616662,7.2187465,,OB Frau Dr. Ottilie Scholz ,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,bonn,,0,1,50.7358511,1,,0,14,http://opendata.bonn.de,0,0,250,Bonn,2015-01-05T17:19:21.735590,7.1006599,,Dr. Monika Hörig ,666.1098901098901098901098903,243,17,35,1,1,69,50,1,19.10112359550561797752808989,49.29577464788732394366197183,1.408450704225352112676056338,1.162790697674418604651162791,80.23255813953488372093023256,100,2.777777777777777777777777778,57.09390243852570670039519449,40
Stadt,0,boppard,,28,2,50.228893,0,,0,5,,0,0,198,Boppard,2015-01-05T17:19:31.160627,7.6000539,,,2040.70,1,21,21,19,39,74,50,36,23.59550561797752808988764045,29.57746478873239436619718310,26.76056338028169014084507042,45.34883720930232558139534884,86.04651162790697674418604651,100,100,80.35087057489962309127264922,65
